#{"t_start": 1666249097.6510453, "env_id": "smb-snake-v0"}
r,l,t
59.122659,57,25337.048447
65.216862,62,25416.710549
7.821366,8,25430.012988
103.267369,99,25532.786748
29.344087,28,25565.544983
66.406478,63,25660.294798
120.798082,118,25779.091812
34.565243,34,25816.758082
113.074775,109,25975.283669
14.574496,14,26003.501805
7.648127,7,26016.023409
2.789403,3,26026.51918
56.887132,55,26125.694935
10.045736,10,26149.756245
13.517871,13,26167.904109
8.865666,8,26180.50654
18.548267,17,26201.817251
13.123183,13,26228.939701
3.797101,2,26238.958271
153.770998,151,26416.04335
9.160404,8,26433.991755
37.431109,36,26490.966847
167.067193,160,26685.00977
18.935287,19,26719.981196
17.689713,17,26745.935954
18.635844,17,26783.783085
10.347153,9,26809.077759
139.607714,135,26962.630183
11.149093,10,26985.328325
120.835177,115,27121.247744
7.345056,7,27134.931349
19.195805,18,27161.778075
8.665746,8,27178.202061
7.661781,7,27192.512452
11.086573,9,27211.375711
13.602679,13,27232.556122
7.636374,7,27245.395663
73.216433,71,27314.018269
104.895529,101,27412.02745
17.092527,15,27445.994098
17.585943,16,27466.050645
14.685628,14,27485.508523
6.102425,6,27496.770338
118.670256,116,27607.785194
24.240289,23,27642.106395
100.163943,96,27785.094862
71.260954,68,27867.466466
28.265448,27,27898.10056
120.018844,115,28090.776649
51.565596,50,28151.790067
12.377124,13,28169.090357
66.765855,64,28236.503971
120.139558,117,28361.891635
120.928345,116,28480.964304
236.019647,228,28698.73367
112.117833,108,28818.726622
102.043412,102,28954.762151
15.689091,15,28975.538003
42.507198,40,29052.196464
64.251628,61,29118.496815
6.904645,6,29137.488488
99.919419,97,29238.1785
9.213093,9,29253.967583
65.128595,63,29343.628661
11.660376,11,29364.950846
70.144191,68,29478.589755
19.011307,18,29514.369441
11.064394,10,29533.358987
27.80962,26,29575.76949
17.769906,17,29622.418434
126.587334,123,29801.143736
8.602236,8,29814.391913
8.788665,9,29831.13352
57.5413,56,29922.618573
10.549147,10,29939.491435
18.752942,18,29975.24798
14.904803,14,30000.75538
120.296848,116,30134.506611
22.778276,22,30160.674315
9.092872,11,30178.955542
9.482442,9,30194.471335
11.493007,11,30228.095034
19.347049,18,30252.619077
2.081553,1,30271.271342
101.164982,97,30365.532402
19.934925,19,30403.985792
6.409108,6,30420.768073
161.682015,158,30572.573502
8.287948,8,30589.491927
6.491791,6,30604.17471
11.685643,10,30623.847356
11.804536,11,30640.222086
13.642101,13,30664.092714
15.224433,15,30692.507509
8.764943,8,30706.074454
120.257617,117,30829.190129
11.691783,11,30854.929814
70.20786,68,30929.699802
117.449686,114,31140.842575
13.106733,13,31160.646445
17.479671,16,31184.853408
18.173163,17,31206.427203
9.723565,9,31220.922609
12.27545,11,31246.949545
19.644535,19,31270.873637
103.628203,99,31375.416728
59.881457,58,31440.073159
59.324544,57,31508.353701
28.344215,26,31551.496938
11.622644,11,31569.97296
11.39713,11,31586.414659
13.958182,13,31611.0602
53.524268,52,31684.611432
10.373048,10,31701.0649
13.184503,12,31728.678882
24.834987,24,31775.672276
18.100332,17,31805.740594
16.626737,15,31835.446672
111.623592,108,31947.111336
111.849967,107,32110.842725
170.745261,163,32338.889662
8.258636,8,32356.840977
2.165793,2,32365.983813
70.359793,68,32442.533135
10.544561,10,32459.671932
180.794312,221,32701.41952
11.696076,11,32718.206826
118.525355,116,32833.979346
12.974385,12,32853.158557
13.922311,14,32873.134666
119.822813,117,33060.192193
8.261913,8,33075.328416
112.004068,107,33214.918963
26.457369,25,33247.34042
126.299599,121,33366.729788
11.672204,10,33384.859338
10.337736,10,33403.573972
25.70129,25,33434.251126
21.697443,20,33486.322763
45.923212,43,33546.932656
6.028215,6,33559.042745
11.037842,10,33574.958598
110.149588,105,33702.806139
250.671605,278,33978.877471
67.091307,63,34047.70238
55.313202,52,34104.929427
92.66969,88,34226.700623
7.040509,7,34241.118635
3.052535,3,34250.539811
4.988719,4,34265.802775
7.854929,7,34278.522392
176.801675,169,34444.301214
10.282433,8,34458.014019
12.744634,12,34476.600453
77.556923,74,34551.554303
18.622678,17,34583.316954
237.180657,230,34857.306263
236.069927,225,35096.635871
168.613504,161,35317.847632
122.24047,117,35466.037899
2.643164,1,35508.060254
63.979178,62,35613.076909
7.423069,7,35634.531256
16.658522,14,35663.859015
286.601163,287,35986.125597
116.376736,113,36149.283362
6.644346,6,36160.176457
6.413225,6,36172.122611
260.954314,337,36640.280513
12.20603,11,36672.285008
28.474315,26,36703.19464
220.807703,224,37032.454029
252.536965,248,37509.448056
14.55953,14,37546.379275
34.124402,33,37592.026368
184.933116,178,37821.54549
272.144224,310,38195.237097
