#{"t_start": 1666814757.230863, "env_id": "smb-up-right-v0"}
r,l,t
11.309941,7,1027.081381
13.716349,7,1028.95715
9.935041,5,1031.265306
236.406643,28,1035.474051
12.248182,7,1036.828177
-0.864298,5,1038.393582
4.306112,5,1039.855707
17.475505,5,1041.049242
190.508738,28,1044.232043
19.827573,7,1045.521445
24.978356,4,1046.966938
18.766045,4,1048.269968
10.607321,7,1049.81688
6.195656,3,1051.631002
24.835693,5,1053.317632
12.670054,6,1054.703698
36.527312,7,1056.243754
27.794819,5,1057.496962
236.411469,28,1060.296685
173.738242,28,1064.192528
14.715069,5,1065.765557
24.945499,6,1067.455392
20.409403,5,1068.951684
18.541409,5,1070.647783
200.86622,28,1073.323938
-1.736312,5,1074.539467
59.413891,6,1076.150909
219.835808,28,1080.221738
28.841484,5,1081.401549
6.321652,3,1082.951627
207.136728,28,1087.00529
21.038499,4,1088.277828
46.468931,7,1091.141762
24.311754,7,1092.611379
4.043053,4,1094.03514
26.396383,5,1095.559183
15.049764,4,1096.860404
9.385539,5,1098.200294
-1.448128,1,1099.435027
238.995442,28,1103.279752
18.683255,7,1105.242924
224.576628,28,1108.763412
6.997748,5,1110.020949
214.798801,28,1113.361553
4.019413,3,1114.59198
2.232632,2,1116.32642
0.453142,2,1117.987472
218.42468,28,1121.833714
17.774323,6,1124.891807
14.625489,2,1126.041468
159.005385,28,1129.374127
12.973033,5,1131.549622
22.124943,7,1133.073336
17.783505,6,1134.531412
33.404327,5,1136.038374
16.331405,7,1137.631791
7.432237,5,1138.971545
5.127699,3,1140.173942
13.815321,5,1141.629034
9.524786,7,1143.890441
3.180412,4,1145.093655
199.09506,28,1148.421444
5.601059,2,1149.516782
23.551553,6,1151.261096
216.743646,28,1154.81528
191.334618,28,1157.753853
26.403509,4,1159.169911
33.51953,6,1160.486571
7.947554,4,1161.715414
8.074465,1,1162.914757
14.267642,5,1164.657364
21.311777,5,1165.903049
20.379032,4,1167.918643
18.773422,7,1169.190649
19.151054,5,1170.575876
2.912075,1,1171.763977
2.297065,3,1172.890175
11.519275,1,1174.392802
20.656617,4,1175.577366
13.166157,5,1177.126038
6.048874,6,1178.635651
7.911662,3,1180.050541
20.075108,5,1182.153982
16.174738,3,1183.595636
20.634469,5,1184.796445
25.503599,5,1185.951162
200.66152,28,1189.000872
197.019393,28,1193.877169
14.863369,4,1195.173417
233.024972,28,1198.908589
21.818758,7,1201.66749
54.110969,7,1203.430489
234.19103,28,1207.856511
5.862279,4,1209.209787
18.277483,6,1211.180299
19.256347,6,1212.572344
22.442708,5,1213.813733
183.009955,28,1217.311428
24.703064,7,1219.002634
39.315471,6,1222.249883
11.819077,6,1223.859926
48.080948,6,1226.255873
12.900184,4,1227.397494
2.304593,4,1228.548835
10.434204,3,1230.330542
21.868949,5,1231.760537
21.458197,6,1233.636271
7.268539,5,1235.924096
28.407979,6,1237.379994
20.625898,6,1239.293038
2.726926,1,1240.721235
28.859442,6,1242.505491
17.372016,5,1243.879659
19.616461,6,1245.659119
32.913985,5,1246.991021
20.461702,7,1248.65749
36.780132,6,1250.626897
223.115181,28,1253.356591
11.361944,6,1255.540021
9.920885,5,1257.01629
10.268352,4,1258.175072
27.087981,6,1259.914032
12.814026,4,1261.376829
4.8251,3,1262.524585
24.287727,7,1264.059736
17.024465,6,1265.561208
13.443379,5,1266.726897
245.059626,28,1269.950433
20.786221,5,1271.071521
6.712436,5,1272.521942
9.309602,4,1273.677064
0.884631,3,1301.485354
36.660451,7,1303.277983
7.470075,5,1304.556604
19.180098,4,1306.023862
21.848788,7,1307.688564
70.007534,7,1309.188253
36.874362,7,1310.621268
11.335355,4,1312.10616
1.502985,5,1313.669175
6.669469,6,1314.896865
15.446725,4,1316.209688
4.044331,4,1317.576206
39.295245,7,1320.39917
23.99772,7,1321.879936
8.039712,3,1323.12309
18.133137,6,1324.533567
26.728766,6,1325.97243
54.89199,7,1327.422981
15.175882,4,1328.773741
15.906089,5,1330.074022
28.981288,6,1331.50686
260.434749,28,1334.461802
27.86829,7,1336.624703
271.216235,28,1339.963284
13.6474,5,1341.752384
214.630866,28,1345.716508
19.427033,5,1346.967204
1.559568,3,1348.063706
15.403882,7,1349.656356
229.816573,28,1354.417759
205.637651,28,1357.589947
16.125894,6,1359.275302
4.522122,4,1360.856848
10.279118,3,1362.285653
3.394736,3,1363.444619
15.968726,7,1365.02631
9.062443,5,1366.535734
234.059618,28,1371.199388
26.915379,7,1372.621469
3.615046,1,1373.744799
189.032976,28,1377.286443
3.553781,6,1378.741412
240.831552,28,1381.570588
231.394887,28,1384.400112
10.611823,5,1385.78053
23.695188,7,1387.908094
-1.154117,5,1389.371334
205.128639,28,1392.487408
16.011322,4,1394.108078
12.760888,5,1395.50802
11.229144,4,1396.627342
31.834093,6,1398.088009
12.595007,5,1399.300187
9.087073,3,1400.485083
12.28495,6,1401.844493
48.736012,7,1403.153634
270.251398,28,1407.590468
42.694547,7,1410.51051
4.118359,4,1411.650138
18.139014,7,1413.011106
219.478767,28,1417.140536
3.252047,5,1418.342092
10.054036,4,1419.670668
235.943698,28,1422.503222
14.176775,5,1424.673276
17.266633,6,1426.410933
16.690613,5,1427.788968
231.155662,28,1430.664931
5.201522,5,1432.159788
15.191609,3,1433.444012
190.889376,28,1436.989215
21.380585,7,1438.654855
20.798065,5,1440.102128
11.688638,5,1441.591071
23.625731,5,1442.761277
221.88495,28,1445.636305
9.436582,5,1446.797181
4.707159,4,1447.943518
-3.159224,5,1449.294077
0.425465,5,1452.064953
17.803591,4,1453.405222
17.281274,7,1455.945433
6.767006,4,1457.457472
32.490728,7,1458.989573
27.76652,7,1461.074766
209.908328,28,1464.647845
1.785292,3,1466.084329
12.888379,5,1467.522128
21.560147,7,1468.949519
9.151262,7,1470.711529
15.189823,6,1472.664694
24.355971,5,1473.921491
8.339107,6,1475.139206
24.613028,5,1476.577743
9.538485,5,1477.772059
22.566327,4,1479.109786
197.503197,28,1481.86795
278.712727,28,1485.605854
-3.660767,4,1487.927956
18.382796,4,1489.172134
8.76374,3,1490.520081
216.699508,28,1493.500458
15.014208,6,1494.926692
256.440882,28,1497.86065
2.789181,3,1498.973681
23.69405,6,1500.333675
4.860927,3,1501.461013
222.802647,28,1505.60664
211.112305,28,1509.294843
10.42905,5,1511.003759
215.465528,28,1514.243639
223.711524,28,1517.031009
197.492866,28,1521.141346
9.93838,4,1522.464281
4.829076,5,1524.245713
4.380298,6,1525.725216
286.249867,28,1528.989235
249.146925,28,1531.834727
217.288514,28,1534.694736
167.797937,28,1537.994648
241.154383,28,1541.309
3.437741,1,1543.405112
39.050745,6,1544.751985
28.974967,6,1546.302623
3.933053,7,1549.305611
16.618105,5,1550.551454
9.299228,3,1552.225157
10.776985,6,1553.980134
17.220887,7,1555.298501
9.455388,7,1556.946124
286.749758,28,1560.050376
4.979569,3,1562.738265
25.9763,4,1563.923532
16.214182,7,1565.639005
12.625881,7,1567.037021
242.48574,28,1570.452915
14.239779,5,1571.645036
14.530196,3,1573.179088
241.007073,28,1577.259513
288.457609,28,1580.754195
14.724432,4,1582.4008
2.295453,7,1583.788641
270.361059,28,1587.316002
35.019879,7,1588.888408
17.479492,5,1590.519309
17.796162,7,1591.938847
6.5298,3,1593.086895
236.261704,28,1596.919358
221.245863,28,1601.016029
15.678832,3,1603.291528
11.560422,7,1605.276193
15.505529,3,1606.684844
21.208435,5,1608.907112
16.161951,5,1610.445414
255.074277,28,1614.220496
284.612769,28,1618.255573
19.835063,6,1619.805108
13.698719,7,1621.553733
15.560965,7,1623.555036
11.205275,4,1624.73255
34.588989,7,1626.050785
36.399994,5,1627.276106
18.966627,5,1628.694329
298.993169,28,1631.927558
21.824673,5,1633.616342
25.758188,3,1634.841094
10.545722,1,1637.621128
15.881014,6,1638.98459
10.233726,5,1640.992744
274.143021,28,1644.499933
3.930603,6,1645.818516
23.729105,5,1647.126301
8.962364,2,1648.189361
272.331127,28,1651.897698
25.414248,4,1653.364308
9.801026,4,1654.526137
255.175061,28,1657.674037
10.61057,7,1658.997355
53.884095,7,1660.32812
25.425587,6,1661.554954
5.06461,4,1662.717089
16.947226,4,1664.050411
14.90867,7,1665.526163
21.203757,6,1667.002195
295.142305,28,1671.006682
6.977004,4,1672.51014
236.825389,28,1676.674267
238.6543,28,1679.596393
253.856515,28,1682.759235
15.821627,5,1684.014987
23.656292,5,1685.5045
27.990239,6,1687.140683
237.090915,28,1690.577169
31.82016,6,1694.193442
8.427862,6,1695.515401
2.608668,2,1696.735292
28.84267,4,1698.067277
240.34565,28,1701.194789
17.503966,6,1702.605047
260.011618,28,1705.960933
10.016684,5,1707.255413
254.267881,28,1710.09218
41.112897,5,1711.392054
0.508185,4,1712.633174
231.947743,28,1716.536988
43.465778,6,1717.906385
268.988517,28,1720.766031
0.006947,6,1722.027678
15.847807,5,1723.651675
14.256664,5,1724.977509
36.833903,7,1726.895817
254.27822,28,1730.568043
245.706752,28,1734.056337
265.208078,28,1737.157974
23.29653,5,1738.457567
14.512413,7,1739.915745
30.984299,6,1741.379265
46.076809,6,1742.859419
17.902633,4,1744.088114
12.027367,3,1745.230658
26.440869,4,1746.623327
24.696666,4,1748.474637
248.945283,28,1751.811473
251.254019,28,1756.448204
4.026534,4,1757.809953
41.965617,7,1759.172222
35.916569,5,1760.660424
3.575113,1,1761.68475
2.409708,4,1762.900678
4.234482,3,1764.081489
13.891115,7,1767.154094
42.189518,6,1769.437779
27.86002,5,1771.51712
219.315588,28,1774.572918
7.53457,6,1777.330005
10.491933,5,1778.749988
272.129083,28,1781.900151
253.111881,28,1785.472128
288.196369,28,1788.691241
259.078903,28,1792.188588
317.191106,28,1796.305379
12.759089,7,1798.164208
2.692567,4,1799.301287
51.640967,7,1800.720739
14.242176,7,1802.595054
9.934214,6,1804.597772
11.67316,2,1805.953039
263.228964,28,1808.910447
298.010604,28,1811.876534
253.989796,28,1815.146775
22.487842,7,1816.651027
23.957807,4,1817.825749
237.584245,28,1821.096985
8.21524,4,1824.361485
202.594677,28,1828.465883
14.026447,5,1829.868759
20.40206,6,1831.241546
36.626697,3,1832.51802
30.847976,5,1833.791456
20.148819,6,1835.078276
37.235876,6,1836.413939
22.479543,5,1837.635763
6.379315,2,1838.856811
256.027706,28,1841.943586
240.397273,28,1844.615969
233.454923,28,1847.685647
12.313745,6,1849.248796
9.321871,3,1851.538954
221.776578,28,1855.397405
15.824098,7,1856.712195
29.96994,6,1858.714472
25.908818,4,1860.19001
203.881799,28,1863.390537
10.532057,4,1864.607044
3.977871,3,1865.737147
48.916977,6,1867.041315
